71.0,322565,3171,2180,9074,473829,6769,4414,18803
71.25,323566,3186,2183,9115,476171,6827,4436,18963
71.5,324551,3193,2190,9168,478451,6876,4467,19147
71.75,325531,3205,2205,9231,480750,6932,4501,19361
72.0,326481,3212,2210,9279,483067,6969,4539,19560
72.25,327470,3217,2214,9327,485323,7011,4562,19731
72.5,328437,3229,2221,9372,487670,7062,4592,19919
72.75,329396,3238,2229,9437,489942,7103,4630,20119
73.0,330309,3245,2235,9478,492294,7146,4655,20317
73.25,331320,3250,2241,9542,494540,7181,4682,20496
73.5,332302,3255,2244,9597,496844,7236,4718,20691
73.75,333263,3266,2251,9656,499180,7280,4752,20884
74.0,334223,3279,2259,9706,501436,7324,4775,21065
74.25,335208,3284,2265,9756,503834,7364,4807,21269
74.5,336183,3287,2265,9812,506138,7404,4835,21479
74.75,337161,3296,2273,9870,508482,7455,4864,21684
75.0,338121,3311,2281,9926,510809,7507,4911,21903
75.25,339091,3319,2290,9992,513100,7552,4952,22121
75.5,340089,3328,2292,10048,515378,7605,4983,22316
75.75,341066,3334,2295,10109,517697,7649,5010,22513
76.0,342002,3341,2305,10153,520043,7703,5050,22720
76.25,342924,3349,2309,10209,522382,7742,5075,22926
76.5,343922,3356,2312,10260,524684,7794,5111,23151
76.75,344849,3362,2316,10305,527022,7842,5145,23382
77.0,345787,3375,2321,10363,529387,7889,5192,23591
77.25,346722,3388,2326,10433,531742,7954,5232,23792
77.5,347675,3395,2336,10485,534070,7994,5270,24006
77.75,348702,3400,2344,10547,536413,8043,5296,24223
78.0,349638,3413,2351,10600,538846,8092,5338,24446
78.25,350571,3417,2356,10645,541263,8146,5370,24673
78.5,351512,3430,2363,10701,543625,8193,5399,24908
78.75,352422,3439,2364,10746,545996,8254,5438,25135
79.0,353381,3448,2367,10810,548244,8302,5469,25350
79.25,354351,3456,2374,10866,550669,8347,5505,25577
79.5,355290,3466,2383,10921,553005,8407,5541,25783
79.75,356218,3480,2389,10988,555316,8460,5571,26005
80.0,357161,3488,2398,11039,557671,8513,5598,26243
80.25,358106,3494,2403,11089,559927,8557,5628,26456
80.5,359017,3505,2408,11146,562228,8611,5659,26677
